timestamp,location,price,last4ccnum,type,loyaltynum,hour,day
2014-01-06,Brew've Been Served,11.34,4795.0,cc,,7,0
2014-01-06,Hallowed Grounds,52.22,7108.0,cc,,7,0
2014-01-06,Brew've Been Served,8.33,6816.0,cc,,7,0
2014-01-06,Hallowed Grounds,16.72,9617.0,cc,,7,0
2014-01-06,Brew've Been Served,4.24,7384.0,cc,,7,0
2014-01-06,Brew've Been Served,4.17,5368.0,cc,,7,0
2014-01-06,Coffee Cameleon,28.73,7253.0,cc,,7,0
2014-01-06,Brew've Been Served,9.6,4948.0,cc,,7,0
2014-01-06,Brew've Been Served,16.9,9683.0,cc,,7,0
2014-01-06,Hallowed Grounds,16.53,8129.0,cc,,7,0
2014-01-06,Hallowed Grounds,10.66,3492.0,cc,,7,0
2014-01-06,Coffee Cameleon,8.39,5921.0,cc,,7,0
2014-01-06,Brew've Been Served,32.83,9405.0,cc,,7,0
2014-01-06,Hallowed Grounds,16.88,7889.0,cc,,7,0
2014-01-06,Coffee Cameleon,11.86,2142.0,cc,,7,0
2014-01-06,Hallowed Grounds,32.93,2681.0,cc,,7,0
2014-01-06,Hallowed Grounds,8.05,9551.0,cc,,7,0
2014-01-06,Brew've Been Served,3.67,3484.0,cc,,7,0
2014-01-06,Brew've Been Served,8.88,7819.0,cc,,7,0
2014-01-06,Brew've Been Served,4.27,5407.0,cc,,8,0
2014-01-06,Hallowed Grounds,9.69,6691.0,cc,,8,0
2014-01-06,Hallowed Grounds,10.07,1874.0,cc,,8,0
2014-01-06,Brew've Been Served,18.24,3853.0,cc,,8,0
2014-01-06,Brew've Been Served,15.58,4434.0,cc,,8,0
2014-01-06,Brew've Been Served,5.66,6901.0,cc,,8,0
2014-01-06,Coffee Cameleon,3.2,2418.0,cc,,8,0
2014-01-06,Brew've Been Served,14.97,1286.0,cc,,8,0
2014-01-06,Brew've Been Served,11.2,8411.0,cc,,8,0
2014-01-06,Brew've Been Served,15.39,8202.0,cc,,8,0
2014-01-06,Abila Airport,4540.08,9220.0,cc,,8,0
2014-01-06,Kronos Pipe and Irrigation,242.21,9220.0,cc,,9,0
2014-01-06,Nationwide Refinery,761.64,9735.0,cc,,10,0
2014-01-06,Maximum Iron and Steel,2859.51,9220.0,cc,,10,0
2014-01-06,Stewart and Sons Fabrication,2144.62,9735.0,cc,,11,0
2014-01-06,Carlyle Chemical Inc.,3959.66,9220.0,cc,,11,0
2014-01-06,Coffee Shack,51.51,7117.0,cc,,12,0
2014-01-06,Bean There Done That,10.28,1415.0,cc,,12,0
2014-01-06,Bean There Done That,16.09,9635.0,cc,,12,0
2014-01-06,Brewed Awakenings,5.72,7688.0,cc,,12,0
2014-01-06,Jack's Magical Beans,11.03,6899.0,cc,,12,0
2014-01-06,Brewed Awakenings,16.89,2540.0,cc,,12,0
2014-01-06,Bean There Done That,8.54,1877.0,cc,,12,0
2014-01-06,Brewed Awakenings,4.35,8332.0,cc,,12,0
2014-01-06,Bean There Done That,5.24,1321.0,cc,,12,0
2014-01-06,Bean There Done That,4.27,6895.0,cc,,12,0
2014-01-06,Jack's Magical Beans,18.59,9241.0,cc,,12,0
2014-01-06,Jack's Magical Beans,27.84,8156.0,cc,,12,0
2014-01-06,Jack's Magical Beans,18.1,2463.0,cc,,12,0
2014-01-06,Abila Airport,1873.79,8642.0,cc,,12,0
2014-01-06,Katerina's Cafe,13.68,8332.0,cc,,12,0
2014-01-06,Hippokampos,9.16,8156.0,cc,,12,0
2014-01-06,Abila Zacharo,106.93,2418.0,cc,,13,0
2014-01-06,Gelatogalore,12.74,7253.0,cc,,13,0
2014-01-06,Kalami Kafenion,70.1,3484.0,cc,,13,0
2014-01-06,Hippokampos,34.03,6691.0,cc,,13,0
2014-01-06,Hippokampos,28.23,9551.0,cc,,13,0
2014-01-06,Ouzeri Elian,38.9,2540.0,cc,,13,0
2014-01-06,Hippokampos,13.26,4795.0,cc,,13,0
2014-01-06,Guy's Gyros,15.44,1415.0,cc,,13,0
2014-01-06,Abila Zacharo,30.08,7688.0,cc,,13,0
2014-01-06,Abila Zacharo,50.14,1286.0,cc,,13,0
2014-01-06,Katerina's Cafe,33.54,8411.0,cc,,13,0
2014-01-06,Kalami Kafenion,8.64,5407.0,cc,,13,0
2014-01-06,Guy's Gyros,16.92,7384.0,cc,,13,0
2014-01-06,Hippokampos,36.54,2681.0,cc,,13,0
2014-01-06,Abila Zacharo,92.05,7354.0,cc,,13,0
2014-01-06,Ouzeri Elian,20.56,6816.0,cc,,13,0
2014-01-06,Guy's Gyros,11.22,1310.0,cc,,13,0
2014-01-06,Gelatogalore,22.64,7889.0,cc,,13,0
2014-01-06,Ouzeri Elian,20.4,6895.0,cc,,13,0
2014-01-06,Guy's Gyros,30.82,9635.0,cc,,13,0
2014-01-06,Katerina's Cafe,18.56,6899.0,cc,,13,0
2014-01-06,Guy's Gyros,99.67,2463.0,cc,,13,0
2014-01-06,Kalami Kafenion,22.13,1321.0,cc,,13,0
2014-01-06,Ouzeri Elian,20.74,5368.0,cc,,13,0
2014-01-06,Ouzeri Elian,30.87,5921.0,cc,,13,0
2014-01-06,Katerina's Cafe,13.59,1874.0,cc,,13,0
2014-01-06,Katerina's Cafe,32.64,9617.0,cc,,13,0
2014-01-06,Kalami Kafenion,22.31,4434.0,cc,,13,0
2014-01-06,Gelatogalore,36.33,3492.0,cc,,13,0
2014-01-06,Katerina's Cafe,36.95,2142.0,cc,,13,0
2014-01-06,Abila Zacharo,23.15,9405.0,cc,,13,0
2014-01-06,Hippokampos,8.64,1877.0,cc,,13,0
2014-01-06,Hippokampos,38.25,8202.0,cc,,13,0
2014-01-06,Katerina's Cafe,39.41,3853.0,cc,,13,0
2014-01-06,Kalami Kafenion,13.08,7117.0,cc,,14,0
2014-01-06,Gelatogalore,23.41,7819.0,cc,,14,0
2014-01-06,Hippokampos,30.88,4948.0,cc,,14,0
2014-01-06,Abila Zacharo,78.11,7108.0,cc,,14,0
2014-01-06,Kalami Kafenion,27.4,8129.0,cc,,14,0
2014-01-06,Katerina's Cafe,19.65,6901.0,cc,,14,0
2014-01-06,Abila Airport,777.06,9220.0,cc,,15,0
2014-01-06,Abila Airport,612.47,8642.0,cc,,15,0
2014-01-06,U-Pump,59.51,3484.0,cc,,17,0
2014-01-06,Katerina's Cafe,78.65,8411.0,cc,,18,0
2014-01-06,Katerina's Cafe,26.46,8129.0,cc,,19,0
2014-01-06,Guy's Gyros,39.29,7384.0,cc,,19,0
2014-01-06,Frydos Autosupply n' More,273.87,9241.0,cc,,19,0
2014-01-06,Katerina's Cafe,23.63,7253.0,cc,,20,0
2014-01-06,Katerina's Cafe,12.32,1874.0,cc,,20,0
2014-01-06,Guy's Gyros,11.94,6901.0,cc,,20,0
2014-01-06,Frydos Autosupply n' More,80.85,8202.0,cc,,20,0
2014-01-06,Guy's Gyros,22.57,3484.0,cc,,20,0
2014-01-06,Guy's Gyros,117.82,6816.0,cc,,20,0
2014-01-06,Frydos Autosupply n' More,175.87,5368.0,cc,,20,0
2014-01-06,Katerina's Cafe,21.66,2418.0,cc,,20,0
2014-01-06,Hippokampos,35.34,1321.0,cc,,20,0
2014-01-06,Guy's Gyros,28.94,7819.0,cc,,20,0
2014-01-06,Albert's Fine Clothing,276.9,9551.0,cc,,20,0
2014-01-06,Guy's Gyros,95.29,7108.0,cc,,20,0
2014-01-06,Hippokampos,85.5,6895.0,cc,,20,0
2014-01-06,Katerina's Cafe,17.92,9405.0,cc,,20,0
2014-01-06,Katerina's Cafe,28.0,6691.0,cc,,20,0
2014-01-06,Katerina's Cafe,15.52,5921.0,cc,,20,0
2014-01-06,Hippokampos,26.8,1877.0,cc,,20,0
2014-01-06,Hippokampos,24.41,7117.0,cc,,20,0
2014-01-06,Hippokampos,21.33,1415.0,cc,,20,0
2014-01-06,Frydos Autosupply n' More,149.3,5407.0,cc,,20,0
2014-01-06,Shoppers' Delight,293.67,7354.0,cc,,20,0
2014-01-06,Hippokampos,17.27,7688.0,cc,,20,0
2014-01-06,Katerina's Cafe,26.1,3492.0,cc,,20,0
2014-01-06,Katerina's Cafe,10.72,9617.0,cc,,21,0
2014-01-06,Albert's Fine Clothing,121.76,4434.0,cc,,21,0
2014-01-06,Hippokampos,28.14,8156.0,cc,,21,0
2014-01-06,Katerina's Cafe,26.51,4948.0,cc,,21,0
2014-01-06,Frydos Autosupply n' More,197.32,2142.0,cc,,21,0
2014-01-06,Frydos Autosupply n' More,314.98,1310.0,cc,,21,0
2014-01-06,Hippokampos,20.61,8332.0,cc,,21,0
2014-01-07,Brew've Been Served,5.08,7384.0,cc,,7,1
2014-01-07,Brew've Been Served,12.74,5368.0,cc,,7,1
2014-01-07,Brew've Been Served,7.09,4795.0,cc,,7,1
2014-01-07,Hallowed Grounds,14.05,7889.0,cc,,7,1
2014-01-07,Hallowed Grounds,8.91,8129.0,cc,,7,1
2014-01-07,Hallowed Grounds,19.59,1874.0,cc,,7,1
2014-01-07,Brew've Been Served,19.6,6816.0,cc,,7,1
2014-01-07,Hallowed Grounds,84.44,9551.0,cc,,7,1
2014-01-07,Coffee Cameleon,9.1,5921.0,cc,,7,1
2014-01-07,Hallowed Grounds,7.88,1310.0,cc,,7,1
2014-01-07,Hallowed Grounds,18.97,7108.0,cc,,7,1
2014-01-07,Coffee Cameleon,27.66,7253.0,cc,,7,1
2014-01-07,Brew've Been Served,4.39,5407.0,cc,,7,1
2014-01-07,Hallowed Grounds,9.61,3492.0,cc,,7,1
2014-01-07,Brew've Been Served,3.0,4434.0,cc,,7,1
2014-01-07,Brew've Been Served,11.92,1286.0,cc,,7,1
2014-01-07,Brew've Been Served,69.06,3484.0,cc,,7,1
2014-01-07,Brew've Been Served,98.53,9683.0,cc,,7,1
2014-01-07,Hallowed Grounds,10.33,6691.0,cc,,7,1
2014-01-07,Brew've Been Served,17.4,8202.0,cc,,7,1
2014-01-07,Brew've Been Served,11.91,4948.0,cc,,8,1
2014-01-07,Coffee Cameleon,11.55,2142.0,cc,,8,1
2014-01-07,Coffee Cameleon,52.44,2418.0,cc,,8,1
2014-01-07,Hallowed Grounds,9.92,9617.0,cc,,8,1
2014-01-07,Hallowed Grounds,68.42,2681.0,cc,,8,1
2014-01-07,Brew've Been Served,14.49,9405.0,cc,,8,1
2014-01-07,Brew've Been Served,3.03,7819.0,cc,,8,1
2014-01-07,Brew've Been Served,15.66,8411.0,cc,,8,1
2014-01-07,Brew've Been Served,47.74,6901.0,cc,,8,1
2014-01-07,Abila Airport,3840.37,3506.0,cc,,9,1
2014-01-07,Stewart and Sons Fabrication,1200.9,3506.0,cc,,10,1
2014-01-07,Nationwide Refinery,1347.36,9735.0,cc,,10,1
2014-01-07,Stewart and Sons Fabrication,1843.33,9735.0,cc,,11,1
2014-01-07,Nationwide Refinery,1562.66,7792.0,cc,,11,1
2014-01-07,Coffee Shack,16.63,7117.0,cc,,12,1
2014-01-07,Bean There Done That,51.25,1415.0,cc,,12,1
2014-01-07,Brewed Awakenings,12.17,7688.0,cc,,12,1
2014-01-07,Jack's Magical Beans,23.68,6899.0,cc,,12,1
2014-01-07,Brewed Awakenings,64.84,3853.0,cc,,12,1
2014-01-07,Brewed Awakenings,71.59,2540.0,cc,,12,1
2014-01-07,Bean There Done That,53.89,1877.0,cc,,12,1
2014-01-07,Brewed Awakenings,6.72,8332.0,cc,,12,1
2014-01-07,Bean There Done That,8.03,1321.0,cc,,12,1
2014-01-07,Bean There Done That,46.25,6895.0,cc,,12,1
2014-01-07,Jack's Magical Beans,18.77,9241.0,cc,,12,1
2014-01-07,Jack's Magical Beans,19.61,8156.0,cc,,12,1
2014-01-07,Jack's Magical Beans,69.84,2463.0,cc,,12,1
2014-01-07,Nationwide Refinery,1071.04,3506.0,cc,,12,1
2014-01-07,Abila Airport,124.89,8642.0,cc,,12,1
2014-01-07,Katerina's Cafe,59.07,7792.0,cc,,13,1
2014-01-07,Guy's Gyros,29.57,8156.0,cc,,13,1
2014-01-07,Abila Zacharo,13.52,1415.0,cc,,13,1
2014-01-07,Gelatogalore,35.06,8332.0,cc,,13,1
2014-01-07,Guy's Gyros,38.56,7354.0,cc,,13,1
